Model Name,Model Type,Model Version,Date,Daily Volume,Performance Metrics,Company Name
Model 2,Classification,[1],2/5/2021,[2064],"[[0.76, 0.92, 0.83]]",State Farm
Model 2,Classification,[1],2/6/2021,[3389],"[[0.8, 0.93, 0.71]]",State Farm
Model 2,Classification,[1],2/7/2021,[1000],"[[0.78, 0.9, 0.86]]",State Farm
Model 2,Classification,[1],2/8/2021,[1295],"[[0.72, 0.76, 0.88]]",State Farm
Model 2,Classification,[1],2/9/2021,[4120],"[[0.84, 0.93, 0.78]]",State Farm
Model 2,Classification,[1],2/10/2021,[1744],"[[0.92, 0.74, 0.93]]",State Farm
Model 2,Classification,[1],2/11/2021,[4408],"[[0.86, 0.8, 0.85]]",State Farm
Model 2,Classification,[1],2/12/2021,[1472],"[[0.8, 0.79, 0.84]]",State Farm
Model 2,Classification,[1],2/13/2021,[4213],"[[0.94, 0.9, 0.7]]",State Farm
Model 2,Classification,[1],2/14/2021,[2856],"[[0.76, 0.86, 0.75]]",State Farm
Model 2,Classification,[1],2/15/2021,[1307],"[[0.94, 0.81, 0.72]]",State Farm
Model 2,Classification,[1],2/16/2021,[2984],"[[0.73, 0.92, 0.71]]",State Farm
Model 2,Classification,[1],2/17/2021,[3972],"[[0.72, 0.78, 0.91]]",State Farm
Model 2,Classification,[1],2/18/2021,[2254],"[[0.79, 0.91, 0.86]]",State Farm
Model 2,Classification,[1],2/19/2021,[1545],"[[0.78, 0.87, 0.81]]",State Farm
Model 2,Classification,[1],2/20/2021,[1396],"[[0.89, 0.81, 0.9]]",State Farm
Model 2,Classification,[1],2/21/2021,[2138],"[[0.89, 0.89, 0.85]]",State Farm
Model 2,Classification,[1],2/22/2021,[4974],"[[0.91, 0.74, 0.89]]",State Farm
Model 2,Classification,[1],2/23/2021,[4797],"[[0.79, 0.74, 0.93]]",State Farm
Model 2,Classification,[1],2/24/2021,[1365],"[[0.77, 0.9, 0.88]]",State Farm
Model 2,Classification,[1],2/25/2021,[4506],"[[0.86, 0.79, 0.83]]",State Farm
Model 2,Classification,[1],2/26/2021,[4593],"[[0.91, 0.88, 0.89]]",State Farm
Model 2,Classification,[1],2/27/2021,[4059],"[[0.91, 0.72, 0.77]]",State Farm
Model 2,Classification,[1],2/28/2021,[3274],"[[0.75, 0.91, 0.94]]",State Farm
Model 2,Classification,[1],3/1/2021,[1038],"[[0.78, 0.76, 0.94]]",State Farm
Model 2,Classification,[1],3/2/2021,[1988],"[[0.86, 0.82, 0.73]]",State Farm
Model 2,Classification,[1],3/3/2021,[1262],"[[0.86, 0.75, 0.85]]",State Farm
Model 2,Classification,[1],3/4/2021,[4627],"[[0.93, 0.79, 0.72]]",State Farm
Model 2,Classification,[1],3/5/2021,[4216],"[[0.7, 0.77, 0.7]]",State Farm
Model 2,Classification,[1],3/6/2021,[2538],"[[0.88, 0.89, 0.72]]",State Farm
Model 2,Classification,[1],3/7/2021,[3120],"[[0.77, 0.85, 0.78]]",State Farm
Model 2,Classification,[1],3/8/2021,[1175],"[[0.88, 0.77, 0.78]]",State Farm
Model 2,Classification,[1],3/9/2021,[3915],"[[0.9, 0.75, 0.74]]",State Farm
Model 2,Classification,[1],3/10/2021,[4275],"[[0.87, 0.92, 0.83]]",State Farm
Model 2,Classification,[1],3/11/2021,[2807],"[[0.78, 0.79, 0.9]]",State Farm
Model 3,Multi-Class,[3],10/11/2022,[4290],"[[0.77, 0.75, 0.79]]",Liberty Mutual
Model 3,Multi-Class,[3],10/12/2022,[1291],"[[0.82, 0.84, 0.82]]",Liberty Mutual
Model 3,Multi-Class,[3],10/13/2022,[4206],"[[0.85, 0.86, 0.74]]",Liberty Mutual
Model 3,Multi-Class,[3],10/14/2022,[4945],"[[0.78, 0.93, 0.76]]",Liberty Mutual
Model 3,Multi-Class,[3],10/15/2022,[2066],"[[0.84, 0.74, 0.75]]",Liberty Mutual
Model 3,Multi-Class,[3],10/16/2022,[3221],"[[0.8, 0.77, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],10/17/2022,[2804],"[[0.81, 0.72, 0.81]]",Liberty Mutual
Model 3,Multi-Class,[3],10/18/2022,[2701],"[[0.73, 0.92, 0.78]]",Liberty Mutual
Model 3,Multi-Class,[3],10/19/2022,[1367],"[[0.88, 0.8, 0.71]]",Liberty Mutual
Model 3,Multi-Class,[3],10/20/2022,[2182],"[[0.95, 0.79, 0.72]]",Liberty Mutual
Model 3,Multi-Class,[3],10/21/2022,[3226],"[[0.93, 0.83, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],10/22/2022,[3293],"[[0.74, 0.81, 0.73]]",Liberty Mutual
Model 3,Multi-Class,[3],10/23/2022,[4445],"[[0.85, 0.73, 0.92]]",Liberty Mutual
Model 3,Multi-Class,[3],10/24/2022,[4664],"[[0.78, 0.76, 0.84]]",Liberty Mutual
Model 3,Multi-Class,[3],10/25/2022,[3245],"[[0.8, 0.89, 0.9]]",Liberty Mutual
Model 3,Multi-Class,[3],10/26/2022,[2249],"[[0.7, 0.92, 0.82]]",Liberty Mutual
Model 3,Multi-Class,[3],10/27/2022,[2456],"[[0.87, 0.72, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],10/28/2022,[1920],"[[0.94, 0.87, 0.85]]",Liberty Mutual
Model 3,Multi-Class,[3],10/29/2022,[3756],"[[0.95, 0.8, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],10/30/2022,[2124],"[[0.79, 0.92, 0.75]]",Liberty Mutual
Model 3,Multi-Class,[3],10/31/2022,[2009],"[[0.89, 0.75, 0.76]]",Liberty Mutual
Model 3,Multi-Class,[3],11/1/2022,[2565],"[[0.85, 0.71, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],11/2/2022,[3253],"[[0.7, 0.79, 0.82]]",Liberty Mutual
Model 3,Multi-Class,[3],11/3/2022,[3008],"[[0.8, 0.8, 0.73]]",Liberty Mutual
Model 3,Multi-Class,[3],11/4/2022,[1730],"[[0.77, 0.75, 0.84]]",Liberty Mutual
Model 3,Multi-Class,[3],11/5/2022,[4479],"[[0.92, 0.77, 0.88]]",Liberty Mutual
Model 3,Multi-Class,[3],11/6/2022,[4293],"[[0.82, 0.9, 0.88]]",Liberty Mutual
Model 3,Multi-Class,[3],11/7/2022,[1892],"[[0.86, 0.87, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],11/8/2022,[2889],"[[0.85, 0.73, 0.72]]",Liberty Mutual
Model 3,Multi-Class,[3],11/9/2022,[2802],"[[0.94, 0.93, 0.78]]",Liberty Mutual
Model 3,Multi-Class,[3],11/10/2022,[1264],"[[0.86, 0.71, 0.75]]",Liberty Mutual
Model 3,Multi-Class,[3],11/11/2022,[4720],"[[0.84, 0.76, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],11/12/2022,[3756],"[[0.82, 0.9, 0.83]]",Liberty Mutual
Model 3,Multi-Class,[3],11/13/2022,[4480],"[[0.75, 0.94, 0.74]]",Liberty Mutual
Model 3,Multi-Class,[3],11/14/2022,[4756],"[[0.8, 0.8, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],11/15/2022,[4188],"[[0.86, 0.75, 0.88]]",Liberty Mutual
Model 3,Multi-Class,[3],11/16/2022,[2582],"[[0.85, 0.8, 0.92]]",Liberty Mutual
Model 3,Multi-Class,[3],11/17/2022,[3720],"[[0.89, 0.84, 0.88]]",Liberty Mutual
Model 3,Multi-Class,[3],11/18/2022,[2936],"[[0.89, 0.75, 0.93]]",Liberty Mutual
Model 3,Multi-Class,[3],11/19/2022,[2751],"[[0.74, 0.83, 0.71]]",Liberty Mutual
Model 3,Multi-Class,[3],11/20/2022,[3072],"[[0.85, 0.71, 0.74]]",Liberty Mutual
Model 3,Multi-Class,[3],11/21/2022,[3020],"[[0.94, 0.89, 0.89]]",Liberty Mutual
Model 3,Multi-Class,[3],11/22/2022,[3872],"[[0.87, 0.73, 0.87]]",Liberty Mutual
Model 3,Multi-Class,[3],11/23/2022,[2200],"[[0.71, 0.71, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],11/24/2022,[1824],"[[0.84, 0.83, 0.87]]",Liberty Mutual
Model 3,Multi-Class,[3],11/25/2022,[2417],"[[0.78, 0.84, 0.73]]",Liberty Mutual
Model 3,Multi-Class,[3],11/26/2022,[3915],"[[0.83, 0.85, 0.91]]",Liberty Mutual
Model 3,Multi-Class,[3],11/27/2022,[1916],"[[0.91, 0.82, 0.94]]",Liberty Mutual
Model 3,Multi-Class,[3],11/28/2022,[1843],"[[0.87, 0.79, 0.71]]",Liberty Mutual
Model 3,Multi-Class,[3],11/29/2022,[1202],"[[0.78, 0.94, 0.89]]",Liberty Mutual
Model 3,Multi-Class,[3],11/30/2022,[3294],"[[0.81, 0.9, 0.89]]",Liberty Mutual
Model 3,Multi-Class,[3],12/1/2022,[2875],"[[0.92, 0.74, 0.73]]",Liberty Mutual
Model 3,Multi-Class,[3],12/2/2022,[2850],"[[0.83, 0.76, 0.91]]",Liberty Mutual
Model 3,Multi-Class,[3],12/3/2022,[3369],"[[0.81, 0.85, 0.83]]",Liberty Mutual
Model 3,Multi-Class,[3],12/4/2022,[1984],"[[0.86, 0.95, 0.82]]",Liberty Mutual
Model 3,Multi-Class,[3],12/5/2022,[2981],"[[0.92, 0.74, 0.79]]",Liberty Mutual
Model 3,Multi-Class,[3],12/6/2022,[3260],"[[0.79, 0.92, 0.83]]",Liberty Mutual
Model 3,Multi-Class,[3],12/7/2022,[2787],"[[0.91, 0.84, 0.84]]",Liberty Mutual
Model 3,Multi-Class,[3],12/8/2022,[1946],"[[0.74, 0.87, 0.72]]",Liberty Mutual
Model 3,Multi-Class,[3],12/9/2022,[1423],"[[0.76, 0.8, 0.7]]",Liberty Mutual
Model 3,Multi-Class,[3],12/10/2022,[2931],"[[0.72, 0.81, 0.77]]",Liberty Mutual
Model 3,Multi-Class,[3],12/11/2022,[2829],"[[0.81, 0.78, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],12/12/2022,[3648],"[[0.73, 0.89, 0.95]]",Liberty Mutual
Model 3,Multi-Class,[3],12/13/2022,[4390],"[[0.78, 0.91, 0.92]]",Liberty Mutual
Model 3,Multi-Class,[3],12/14/2022,[1760],"[[0.74, 0.8, 0.76]]",Liberty Mutual
Model 3,Multi-Class,[3],12/15/2022,[1511],"[[0.9, 0.81, 0.95]]",Liberty Mutual
Model 3,Multi-Class,[3],12/16/2022,[3726],"[[0.86, 0.94, 0.94]]",Liberty Mutual
Model 3,Multi-Class,[3],12/17/2022,[3558],"[[0.7, 0.78, 0.93]]",Liberty Mutual
Model 3,Multi-Class,[3],12/18/2022,[1758],"[[0.79, 0.87, 0.71]]",Liberty Mutual
Model 3,Multi-Class,[3],12/19/2022,[2453],"[[0.86, 0.84, 0.75]]",Liberty Mutual
Model 3,Multi-Class,[3],12/20/2022,[1344],"[[0.89, 0.82, 0.93]]",Liberty Mutual
Model 3,Multi-Class,[3],12/21/2022,[2438],"[[0.71, 0.77, 0.87]]",Liberty Mutual
Model 3,Multi-Class,[3],12/22/2022,[1812],"[[0.9, 0.87, 0.82]]",Liberty Mutual
Model 3,Multi-Class,[3],12/23/2022,[1900],"[[0.89, 0.8, 0.75]]",Liberty Mutual
Model 3,Multi-Class,[3],12/24/2022,[1078],"[[0.85, 0.75, 0.93]]",Liberty Mutual
Model 3,Multi-Class,[3],12/25/2022,[1520],"[[0.85, 0.92, 0.79]]",Liberty Mutual
Model 3,Multi-Class,[3],12/26/2022,[4596],"[[0.73, 0.9, 0.8]]",Liberty Mutual
Model 3,Multi-Class,[3],12/27/2022,[3084],"[[0.88, 0.82, 0.84]]",Liberty Mutual
Model 3,Multi-Class,[3],12/28/2022,[3329],"[[0.75, 0.81, 0.87]]",Liberty Mutual
Model 3,Multi-Class,[3],12/29/2022,[1778],"[[0.8, 0.77, 0.87]]",Liberty Mutual
Model 3,Multi-Class,[3],12/30/2022,[1339],"[[0.95, 0.83, 0.95]]",Liberty Mutual
Model 3,Multi-Class,[3],12/31/2022,[2989],"[[0.71, 0.75, 0.91]]",Liberty Mutual
Model 3,Multi-Class,[3],1/1/2023,[2663],"[[0.91, 0.9, 0.85]]",Liberty Mutual
Model 4,Regression,"[1,3]",12/23/2022,"[1568, 2040]","[1.16, 4.28]",State Farm
Model 4,Regression,"[1,3]",12/24/2022,"[4137, 4199]","[2.99, 4.4]",State Farm
Model 4,Regression,"[1,3]",12/25/2022,"[1949, 2875]","[0.67, 4.37]",State Farm
Model 4,Regression,"[1,3]",12/26/2022,"[1994, 2858]","[4.2, 1.33]",State Farm
Model 4,Regression,"[1,3]",12/27/2022,"[2936, 1569]","[2.79, 3.62]",State Farm
Model 4,Regression,"[1,3]",12/28/2022,"[2746, 4687]","[3.87, 1.39]",State Farm
Model 4,Regression,"[1,3]",12/29/2022,"[3195, 4917]","[4.83, 4.6]",State Farm
Model 4,Regression,"[1,3]",12/30/2022,"[3541, 4437]","[0.83, 4.53]",State Farm
Model 4,Regression,"[1,3]",12/31/2022,"[1849, 3440]","[4.26, 3.97]",State Farm
Model 4,Regression,"[1,3]",1/1/2023,"[4392, 3445]","[3.04, 3.29]",State Farm
Model 4,Regression,"[1,3]",1/2/2023,"[1606, 2971]","[1.73, 1.47]",State Farm
Model 4,Regression,"[1,3]",1/3/2023,"[3671, 4204]","[1.79, 4.14]",State Farm
Model 4,Regression,"[1,3]",1/4/2023,"[3284, 2245]","[2.7, 3.41]",State Farm
Model 4,Regression,"[1,3]",1/5/2023,"[3406, 3853]","[2.15, 4.89]",State Farm
Model 4,Regression,"[1,3]",1/6/2023,"[2044, 1110]","[3.19, 1.24]",State Farm
Model 4,Regression,"[1,3]",1/7/2023,"[4600, 2787]","[0.56, 3.31]",State Farm
Model 4,Regression,"[1,3]",1/8/2023,"[2300, 1249]","[4.12, 1.59]",State Farm
Model 4,Regression,"[1,3]",1/9/2023,"[1017, 4786]","[0.81, 1.1]",State Farm
Model 4,Regression,"[1,3]",1/10/2023,"[2851, 4826]","[3.91, 4.04]",State Farm
Model 4,Regression,"[1,3]",1/11/2023,"[4693, 3876]","[3.15, 1.61]",State Farm
Model 4,Regression,"[1,3]",1/12/2023,"[1713, 4701]","[1.3, 4.28]",State Farm
Model 4,Regression,"[1,3]",1/13/2023,"[3875, 3318]","[2.1, 1.78]",State Farm
Model 4,Regression,"[1,3]",1/14/2023,"[2041, 2283]","[3.89, 1.53]",State Farm
Model 4,Regression,"[1,3]",1/15/2023,"[4032, 1240]","[0.45, 4.16]",State Farm
Model 4,Regression,"[1,3]",1/16/2023,"[3875, 2746]","[1.73, 3.92]",State Farm
Model 4,Regression,"[1,3]",1/17/2023,"[1664, 4723]","[0.54, 3.53]",State Farm
Model 4,Regression,"[1,3]",1/18/2023,"[2674, 3680]","[2.9, 2.39]",State Farm
Model 4,Regression,"[1,3]",1/19/2023,"[2030, 3458]","[2.23, 3.86]",State Farm
Model 4,Regression,"[1,3]",1/20/2023,"[3312, 4157]","[1.96, 3.84]",State Farm
Model 4,Regression,"[1,3]",1/21/2023,"[2584, 3248]","[4.3, 1.53]",State Farm
Model 4,Regression,"[1,3]",1/22/2023,"[4901, 1855]","[1.93, 2.61]",State Farm
Model 4,Regression,"[1,3]",1/23/2023,"[4558, 4068]","[3.39, 3.69]",State Farm
Model 4,Regression,"[1,3]",1/24/2023,"[3863, 1597]","[2.06, 4.56]",State Farm
Model 4,Regression,"[1,3]",1/25/2023,"[2246, 2387]","[4.09, 4.42]",State Farm
Model 4,Regression,"[1,3]",1/26/2023,"[3174, 4040]","[1.07, 0.36]",State Farm
